Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
7,English,101,Learning Together,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+English+Learning+Together,https://www.youtube.com/results?search_query=Class+7+English+Learning+Together+explanation,https://ncert.nic.in/textbook.php,,
7,English,102,Wit and Humour,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+English+Wit+and+Humour,https://www.youtube.com/results?search_query=Class+7+English+Wit+and+Humour+explanation,https://ncert.nic.in/textbook.php,,
7,English,103,Dreams and Discoveries,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+English+Dreams+and+Discoveries,https://www.youtube.com/results?search_query=Class+7+English+Dreams+and+Discoveries+explanation,https://ncert.nic.in/textbook.php,,
7,English,104,Travel and Adventure,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+English+Travel+and+Adventure,https://www.youtube.com/results?search_query=Class+7+English+Travel+and+Adventure+explanation,https://ncert.nic.in/textbook.php,,
7,English,105,Bravehearts,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+English+Bravehearts,https://www.youtube.com/results?search_query=Class+7+English+Bravehearts+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,101,"माँ, कह एक कहानी",video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%AE%E0%A4%BE%E0%A4%81%2C+%E0%A4%95%E0%A4%B9+%E0%A4%8F%E0%A4%95+%E0%A4%95%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A5%80,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%AE%E0%A4%BE%E0%A4%81%2C+%E0%A4%95%E0%A4%B9+%E0%A4%8F%E0%A4%95+%E0%A4%95%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A5%80+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,102,तीन बुद्धिमान,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%A4%E0%A5%80%E0%A4%A8+%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%A8,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%A4%E0%A5%80%E0%A4%A8+%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%A8+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,103,फूल और काँटा,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%AB%E0%A5%82%E0%A4%B2+%E0%A4%94%E0%A4%B0+%E0%A4%95%E0%A4%BE%E0%A4%81%E0%A4%9F%E0%A4%BE,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%AB%E0%A5%82%E0%A4%B2+%E0%A4%94%E0%A4%B0+%E0%A4%95%E0%A4%BE%E0%A4%81%E0%A4%9F%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,104,पानी रे पानी,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%AA%E0%A4%BE%E0%A4%A8%E0%A5%80+%E0%A4%B0%E0%A5%87+%E0%A4%AA%E0%A4%BE%E0%A4%A8%E0%A5%80,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%AA%E0%A4%BE%E0%A4%A8%E0%A5%80+%E0%A4%B0%E0%A5%87+%E0%A4%AA%E0%A4%BE%E0%A4%A8%E0%A5%80+explanation,https://ncert.nic.in/textbook.php,,
7,Hindi,105,नहीं होना बीमार,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+7+Hindi+%E0%A4%A8%E0%A4%B9%E0%A5%80%E0%A4%82+%E0%A4%B9%E0%A5%8B%E0%A4%A8%E0%A4%BE+%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE%E0%A4%B0,https://www.youtube.com/results?search_query=Class+7+Hindi+%E0%A4%A8%E0%A4%B9%E0%A5%80%E0%A4%82+%E0%A4%B9%E0%A5%8B%E0%A4%A8%E0%A4%BE+%E0%A4%AC%E0%A5%80%E0%A4%AE%E0%A4%BE%E0%A4%B0+explanation,https://ncert.nic.in/textbook.php,,
