"Status","Class","Subject","Textbook","Part","Version","OldName","NewName","OldPath","NewPath","Reason"
"READY","C05","ENGLISH","SANTOOR","P00","V02","Class5_English_Santoor_Revised_Master_Package_v2","MASTER__C05__ENGLISH__SANTOOR__P00__V02","D:\GURUKUL-AI\Contents\Class 5\Class5_English_Santoor_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 5\MASTER__C05__ENGLISH__SANTOOR__P00__V02",""
"READY","C05","EVS","OUR_WONDROUS_WORLD","P00","V02","Class5_EVS_Our_Wondrous_World_Revised_Master_Package_v2","MASTER__C05__EVS__OUR_WONDROUS_WORLD__P00__V02","D:\GURUKUL-AI\Contents\Class 5\Class5_EVS_Our_Wondrous_World_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 5\MASTER__C05__EVS__OUR_WONDROUS_WORLD__P00__V02",""
"READY","C05","HINDI","VEENA","P00","V03","Class5_Hindi_Veena_Revised_Master_Package_v3","MASTER__C05__HINDI__VEENA__P00__V03","D:\GURUKUL-AI\Contents\Class 5\Class5_Hindi_Veena_Revised_Master_Package_v3","D:\GURUKUL-AI\Contents\Class 5\MASTER__C05__HINDI__VEENA__P00__V03",""
"READY","C05","MATHEMATICS","MATHS_MELA","P00","V02","Class5_Maths_Maths_Mela_Revised_Master_Package_v2","MASTER__C05__MATHEMATICS__MATHS_MELA__P00__V02","D:\GURUKUL-AI\Contents\Class 5\Class5_Maths_Maths_Mela_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 5\MASTER__C05__MATHEMATICS__MATHS_MELA__P00__V02",""
"READY","C06","ENGLISH","POORVI","P00","V02","Class6_English_Poorvi_Revised_Master_Package_v2","MASTER__C06__ENGLISH__POORVI__P00__V02","D:\GURUKUL-AI\Contents\Class 6\Class6_English_Poorvi_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 6\MASTER__C06__ENGLISH__POORVI__P00__V02",""
"READY","C06","HINDI","MALHAR","P00","V02","Class6_Hindi_Malhar_Revised_Master_Package_v2","MASTER__C06__HINDI__MALHAR__P00__V02","D:\GURUKUL-AI\Contents\Class 6\Class6_Hindi_Malhar_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 6\MASTER__C06__HINDI__MALHAR__P00__V02",""
"READY","C06","MATHEMATICS","GANITA_PRAKASH","P00","V02","Class6_Maths_Ganita_Prakash_Revised_Master_Package_v2","MASTER__C06__MATHEMATICS__GANITA_PRAKASH__P00__V02","D:\GURUKUL-AI\Contents\Class 6\Class6_Maths_Ganita_Prakash_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 6\MASTER__C06__MATHEMATICS__GANITA_PRAKASH__P00__V02",""
"READY","C06","SCIENCE","CURIOSITY","P00","V02","Class6_Science_Curiosity_Revised_Master_Package_v2","MASTER__C06__SCIENCE__CURIOSITY__P00__V02","D:\GURUKUL-AI\Contents\Class 6\Class6_Science_Curiosity_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 6\MASTER__C06__SCIENCE__CURIOSITY__P00__V02",""
"READY","C06","SOCIAL_SCIENCE","EXPLORING_SOCIETY","P00","V02","Class6_Social_Science_Exploring_Society_Revised_Master_Package_v2","MASTER__C06__SOCIAL_SCIENCE__EXPLORING_SOCIETY__P00__V02","D:\GURUKUL-AI\Contents\Class 6\Class6_Social_Science_Exploring_Society_Revised_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 6\MASTER__C06__SOCIAL_SCIENCE__EXPLORING_SOCIETY__P00__V02",""
"READY","C07","ENGLISH","POORVI","P00","V02","Class7_English_Poorvi_Master_Package_v2","MASTER__C07__ENGLISH__POORVI__P00__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_English_Poorvi_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__ENGLISH__POORVI__P00__V02",""
"READY","C07","HINDI","MALHAR","P00","V02","Class7_Hindi_Malhar_Master_Package_v2","MASTER__C07__HINDI__MALHAR__P00__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_Hindi_Malhar_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__HINDI__MALHAR__P00__V02",""
"READY","C07","MATHEMATICS","GANITA_PRAKASH","P01","V02","Class7_Mathematics_Ganita_Prakash_Part1_Master_Package_v2","MASTER__C07__MATHEMATICS__GANITA_PRAKASH__P01__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_Mathematics_Ganita_Prakash_Part1_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__MATHEMATICS__GANITA_PRAKASH__P01__V02",""
"READY","C07","MATHEMATICS","GANITA_PRAKASH","P02","V02","Class7_Mathematics_Ganita_Prakash_Part2_Master_Package_v2","MASTER__C07__MATHEMATICS__GANITA_PRAKASH__P02__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_Mathematics_Ganita_Prakash_Part2_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__MATHEMATICS__GANITA_PRAKASH__P02__V02",""
"READY","C07","SCIENCE","CURIOSITY","P00","V02","Class7_Science_Curiosity_Master_Package_v2","MASTER__C07__SCIENCE__CURIOSITY__P00__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_Science_Curiosity_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__SCIENCE__CURIOSITY__P00__V02",""
"READY","C07","SOCIAL_SCIENCE","UNSPECIFIED","P01","V02","Class7_Social_Science_Part1_Master_Package_v2","MASTER__C07__SOCIAL_SCIENCE__UNSPECIFIED__P01__V02","D:\GURUKUL-AI\Contents\Class 7\Class7_Social_Science_Part1_Master_Package_v2","D:\GURUKUL-AI\Contents\Class 7\MASTER__C07__SOCIAL_SCIENCE__UNSPECIFIED__P01__V02",""
